Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Richaun Holmes,40:59,8,13,.615,0,0,,1,2,.500,1,14,15,6,2,4,1,3,17,-7
De'Aaron Fox,37:16,11,22,.500,1,5,.200,6,9,.667,0,4,4,8,0,0,2,5,29,+1
Buddy Hield,36:49,8,14,.571,5,11,.455,2,2,1.000,0,6,6,3,2,0,2,1,23,+6
Harrison Barnes,36:16,5,9,.556,1,5,.200,2,2,1.000,1,4,5,3,1,0,2,1,13,-4
Marvin Bagley,15:55,6,9,.667,0,2,.000,0,0,,1,2,3,0,0,1,0,1,12,+10
Tyrese Haliburton,28:06,2,6,.333,0,3,.000,0,0,,0,4,4,3,1,1,1,4,4,-12
Cory Joseph,21:30,3,3,1.000,0,0,,0,0,,0,3,3,3,1,0,1,2,6,-11
Nemanja Bjelica,16:54,4,8,.500,1,4,.250,0,2,.000,1,3,4,1,0,0,1,2,9,-4
Justin James,3:55,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-3
Jabari Parker,2:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
