Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Buddy Hield,37:32,5,16,.313,5,13,.385,3,3,1.000,0,11,11,4,1,1,1,2,18,+11
Delon Wright,36:42,6,15,.400,1,5,.200,0,0,,1,9,10,8,4,4,1,1,13,+7
Marvin Bagley,30:53,5,15,.333,1,5,.200,2,2,1.000,4,3,7,1,0,1,2,5,13,-14
Richaun Holmes,30:53,6,12,.500,0,0,,1,2,.500,3,4,7,3,0,1,3,2,13,-7
Maurice Harkless,23:59,5,9,.556,0,4,.000,1,2,.500,1,3,4,1,0,2,0,2,11,+12
Terence Davis,30:46,6,13,.462,3,8,.375,3,3,1.000,0,5,5,3,0,0,3,3,18,+10
Justin James,18:27,4,10,.400,2,6,.333,3,4,.750,0,1,1,0,0,0,1,2,13,-18
Damian Jones,16:25,2,3,.667,0,0,,0,0,,0,3,3,2,1,1,0,2,4,+14
Kyle Guy,11:19,0,2,.000,0,2,.000,0,0,,0,1,1,3,0,0,1,0,0,-2
Jahmi'us Ramsey,3:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7
