Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Buddy Hield,40:00,.500,.500,.688,.000,0.0,20.9,10.0,26.8,2.4,0.0,15.8,20.3,100,95,0.8
Delon Wright,39:43,.730,.679,.357,.286,12.1,5.3,8.8,21.8,7.3,2.1,11.3,19.1,145,87,16.5
Maurice Harkless,35:31,.500,.500,.250,.000,2.7,11.8,7.0,7.2,4.1,0.0,11.1,10.8,102,94,-2.5
Marvin Bagley,34:57,.607,.591,.045,.364,8.2,26.9,17.2,0.0,0.0,0.0,3.8,32.5,122,99,1.4
Richaun Holmes,31:17,.545,.545,.000,.000,3.1,6.7,4.8,9.1,3.1,5.3,15.4,17.8,100,93,-4.1
Terence Davis,19:49,.388,.375,.667,.167,4.8,26.3,15.1,14.5,2.4,8.4,0.0,27.8,94,88,1.9
Damian Jones,16:43,.000,.000,.333,.000,0.0,25.0,12.0,6.7,2.9,5.0,0.0,7.7,21,90,-7.8
Kyle Guy,8:18,.000,.000,.400,.000,11.6,12.6,12.0,0.0,0.0,0.0,16.7,30.9,13,102,-36.6
Justin James,6:37,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,12.5,0.0,6.5,200,97,4.7
Jahmi'us Ramsey,6:06,.500,.500,.500,.000,0.0,17.1,8.2,0.0,7.9,0.0,33.3,21.0,62,85,-5.6
Louis King,0:59,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0,106,-48.6
