Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Derrick White,33:39,.666,.647,.647,.235,2.9,4.6,3.9,23.2,1.4,0.0,0.0,24.0,134,97,12.4
Dejounte Murray,32:56,.468,.450,.200,.400,0.0,16.5,9.2,33.8,0.0,0.0,0.0,15.4,113,94,2.1
DeMar DeRozan,31:50,.531,.385,.154,.692,6.2,14.6,10.9,31.8,0.0,2.2,0.0,23.0,127,93,4.8
Keldon Johnson,27:48,.643,.650,.400,.200,3.5,13.9,9.3,13.5,0.0,0.0,15.5,20.0,106,95,1.0
Jakob Poeltl,24:37,.735,.700,.000,.200,4.0,18.9,12.3,8.7,3.8,2.8,15.5,22.5,118,82,5.7
Patty Mills,21:25,.258,.000,1.000,.667,0.0,3.6,2.0,6.2,0.0,0.0,20.5,9.8,54,101,-10.5
Rudy Gay,21:11,.508,.429,.429,.286,0.0,25.6,14.3,15.5,0.0,3.2,0.0,16.0,112,87,1.5
Drew Eubanks,15:57,.521,.333,.000,1.000,24.6,43.7,35.2,10.0,0.0,0.0,36.7,36.8,84,81,-8.4
Lonnie Walker,15:14,.000,.000,.200,.000,0.0,20.3,11.4,17.5,3.1,0.0,16.7,17.0,19,85,-13.1
Devin Vassell,3:36,.500,.500,.500,.000,0.0,21.5,12.0,0.0,0.0,0.0,0.0,23.9,93,92,-2.1
Tre Jones,3:27,.532,.000,1.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,34.7,36.0,73,102,-16.3
Gorgui Dieng,3:08,,,,,0.0,0.0,0.0,42.6,0.0,0.0,,0.0,222,101,3.5
Luka Šamanić,3:08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,101,-10.6
Keita Bates-Diop,2:04,1.136,,,,0.0,0.0,0.0,0.0,0.0,33.2,0.0,18.3,250,80,41.9
