Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Derrick White,37:33,8,16,.500,4,8,.500,2,2,1.000,1,4,5,2,2,1,1,5,22,+2
DeMar DeRozan,37:06,10,21,.476,0,3,.000,12,12,1.000,2,5,7,8,1,0,5,2,32,+5
Jakob Poeltl,36:41,3,7,.429,0,0,,2,2,1.000,2,5,7,3,1,5,1,3,8,+5
Dejounte Murray,35:14,4,13,.308,1,3,.333,2,2,1.000,2,5,7,5,3,0,1,1,11,+1
Keldon Johnson,34:09,5,12,.417,2,7,.286,2,4,.500,1,8,9,2,0,0,1,4,14,-4
Patty Mills,20:06,2,5,.400,1,4,.250,0,0,,0,3,3,2,2,0,1,0,5,-4
Lonnie Walker,14:05,2,7,.286,0,4,.000,0,0,,0,1,1,0,0,0,4,1,4,-1
Drew Eubanks,11:18,1,1,1.000,0,0,,6,9,.667,1,3,4,0,0,2,3,3,8,-5
Devin Vassell,5:53,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,2,3,+5
Luka Šamanić,5:46,1,1,1.000,0,0,,1,1,1.000,0,2,2,0,0,0,0,2,3,+2
Keita Bates-Diop,2:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
