Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lonnie Walker,34:08,6,14,.429,4,7,.571,0,0,,0,2,2,1,0,1,0,4,16,-13
DeMar DeRozan,31:03,3,12,.250,0,4,.000,2,2,1.000,0,3,3,10,0,1,2,5,8,-18
Dejounte Murray,31:02,6,9,.667,1,3,.333,0,0,,0,7,7,3,2,0,6,1,13,-6
Keldon Johnson,30:47,5,10,.500,2,5,.400,2,2,1.000,2,9,11,5,1,2,2,3,14,+3
LaMarcus Aldridge,20:15,2,7,.286,0,2,.000,0,0,,1,3,4,1,0,2,2,3,4,-16
Rudy Gay,28:07,9,20,.450,2,8,.250,2,2,1.000,1,5,6,2,2,2,1,2,22,+9
Jakob Poeltl,23:19,4,6,.667,0,0,,0,0,,0,8,8,0,0,2,1,3,8,+15
Patty Mills,23:06,3,6,.500,2,4,.500,2,2,1.000,0,2,2,3,0,0,1,1,10,+11
Devin Vassell,12:09,0,4,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,+6
Trey Lyles,6:04,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-6
