Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keldon Johnson,33:00,.375,.313,.125,.188,3.0,15.5,9.2,35.3,0.0,2.9,14.8,27.1,79,117,-3.1
DeMar DeRozan,28:02,.470,.364,.182,.364,3.6,7.3,5.4,40.8,0.0,0.0,7.3,21.6,107,121,0.2
Dejounte Murray,26:01,.400,.400,.000,.000,0.0,15.7,7.8,15.0,0.0,0.0,23.1,22.0,64,119,-12.6
Devin Vassell,24:17,.381,.357,.429,.286,4.1,21.0,12.5,0.0,0.0,3.9,11.3,16.1,73,115,-6.1
Jakob Poeltl,19:42,.500,.500,.000,.000,5.1,20.7,12.8,0.0,0.0,9.6,20.0,11.2,83,110,-5.9
Trey Lyles,25:59,.768,.688,.375,.500,3.8,19.7,11.7,0.0,0.0,0.0,0.0,16.5,156,118,5.1
Rudy Gay,24:02,.666,.591,.545,.364,4.2,21.2,12.6,9.1,0.0,0.0,13.6,27.0,114,117,5.0
Patty Mills,23:11,.658,.611,.556,.222,0.0,0.0,0.0,17.5,2.1,0.0,9.2,20.6,119,118,5.4
Lonnie Walker,17:42,.000,.000,.600,.000,0.0,17.3,8.6,16.9,0.0,0.0,16.7,14.9,17,118,-17.0
Drew Eubanks,9:48,.521,.500,.000,1.000,10.2,41.7,25.8,18.1,0.0,9.6,0.0,12.9,127,105,8.5
Keita Bates-Diop,4:08,.000,.000,.000,.000,24.2,0.0,12.2,0.0,11.8,0.0,0.0,21.3,33,96,-4.6
Quinndary Weatherspoon,4:08,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.3,0,123,-28.2
