Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jakob Poeltl,28:16,7,7,1.000,0,0,,0,1,.000,2,10,12,1,3,3,2,0,14,+33
Keldon Johnson,27:35,8,11,.727,2,3,.667,2,2,1.000,0,2,2,1,0,0,1,1,20,+23
DeMar DeRozan,25:42,7,11,.636,0,0,,9,10,.900,2,4,6,8,0,0,2,1,23,+30
Dejounte Murray,24:30,7,13,.538,2,3,.667,0,0,,0,6,6,5,1,0,0,2,16,+36
Derrick White,16:58,3,5,.600,2,3,.667,3,4,.750,0,2,2,4,1,1,0,4,11,+23
Patty Mills,20:45,4,6,.667,3,5,.600,1,1,1.000,0,3,3,4,0,0,2,0,12,+8
Drew Eubanks,19:44,1,2,.500,0,0,,3,4,.750,3,4,7,0,0,1,2,5,5,-22
Lonnie Walker,19:18,4,10,.400,1,5,.200,2,2,1.000,0,1,1,0,0,0,3,4,11,-26
Rudy Gay,18:07,2,10,.200,1,6,.167,0,0,,0,3,3,2,1,0,0,2,5,+1
Devin Vassell,12:16,1,5,.200,1,3,.333,0,0,,1,0,1,2,0,1,0,0,3,+11
Quinndary Weatherspoon,10:06,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,1,6,2,-20
Trey Lyles,8:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-23
Keita Bates-Diop,7:55,0,2,.000,0,2,.000,3,4,.750,0,1,1,0,0,0,0,0,3,-19
