Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dejounte Murray,30:42,.423,.423,.231,.000,0.0,33.7,18.3,38.9,1.6,0.0,7.1,20.1,107,98,1.7
Lonnie Walker,29:32,.576,.538,.385,.154,0.0,6.4,3.5,4.2,4.9,0.0,0.0,20.7,115,99,0.9
Keldon Johnson,28:24,.658,.611,.111,.222,0.0,13.3,7.2,4.3,0.0,0.0,9.2,16.9,118,108,-3.7
DeMar DeRozan,27:21,.514,.429,.143,.571,0.0,10.3,5.6,32.9,1.7,0.0,18.6,17.4,113,104,-4.2
LaMarcus Aldridge,24:05,.577,.577,.231,.000,0.0,7.8,4.2,0.0,0.0,8.0,0.0,23.8,108,105,-1.4
Devin Vassell,24:03,.636,.636,.545,.000,0.0,15.7,8.5,5.2,4.0,4.0,0.0,20.2,121,96,8.7
Rudy Gay,22:26,.658,.611,.333,.222,5.0,21.0,13.7,0.0,2.1,4.3,16.8,23.4,107,98,-1.0
Jakob Poeltl,21:27,.500,.500,.000,.000,15.6,13.2,14.3,5.1,4.5,4.5,0.0,8.2,139,95,1.6
Patty Mills,20:47,.727,.714,.571,.071,5.4,13.6,9.8,23.5,2.3,0.0,6.5,32.8,135,103,14.9
Keita Bates-Diop,2:55,.000,.000,.000,.000,0.0,0.0,0.0,34.3,0.0,0.0,0.0,15.1,56,113,-10.0
Trey Lyles,2:55,,,,,0.0,64.5,35.0,34.3,0.0,0.0,,0.0,231,91,14.3
Tre Jones,2:55,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.2,71,111,-17.5
Luka Šamanić,2:28,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,300,113,32.0
