Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,30:42,5,13,.385,1,3,.333,0,0,,0,11,11,10,1,0,1,1,11,+10
Lonnie Walker,29:32,6,13,.462,2,5,.400,2,2,1.000,0,2,2,1,3,0,0,3,16,+4
Keldon Johnson,28:24,5,9,.556,1,1,1.000,2,2,1.000,0,4,4,1,0,0,1,1,13,-9
DeMar DeRozan,27:21,3,7,.429,0,1,.000,3,4,.750,0,3,3,8,1,0,2,5,9,+1
LaMarcus Aldridge,24:05,7,13,.538,1,3,.333,0,0,,0,2,2,0,0,2,0,1,15,+3
Devin Vassell,24:03,5,11,.455,4,6,.667,0,0,,0,4,4,1,2,1,0,0,14,+19
Rudy Gay,22:26,5,9,.556,1,3,.333,2,2,1.000,1,5,6,0,1,1,2,1,13,+23
Jakob Poeltl,21:27,2,4,.500,0,0,,0,0,,3,3,6,1,2,1,0,1,4,+16
Patty Mills,20:47,8,14,.571,4,8,.500,1,1,1.000,1,3,4,3,1,0,1,0,21,+29
Tre Jones,2:55,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,+1
Trey Lyles,2:55,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+1
Keita Bates-Diop,2:55,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Luka Šamanić,2:28,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+1
