Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
DeMar DeRozan,36:29,.439,.381,.095,.190,3.1,13.4,8.7,17.9,0.0,0.0,14.9,32.2,84,111,-10.1
Dejounte Murray,34:33,.538,.538,.154,.000,0.0,11.3,6.1,41.3,2.7,0.0,27.8,22.9,94,105,-0.6
Trey Lyles,26:49,.833,.833,.222,.000,0.0,36.5,19.7,6.5,1.8,0.0,0.0,14.7,160,101,8.2
Lonnie Walker,23:37,.799,.750,.667,.333,0.0,0.0,0.0,0.0,2.0,9.0,22.5,16.5,112,104,3.9
Jakob Poeltl,22:43,.333,.333,.000,.000,10.1,12.9,11.6,11.2,2.1,4.7,50.0,11.6,65,103,-8.9
Patty Mills,26:47,.505,.458,.833,.167,0.0,7.3,3.9,5.5,1.8,0.0,7.2,22.8,95,108,-4.8
Keldon Johnson,22:02,.654,.583,.667,.333,0.0,13.3,7.2,6.5,2.1,0.0,12.7,15.7,115,106,-2.3
Luka Šamanić,19:05,.571,.500,.714,.286,12.0,25.7,19.3,0.0,4.9,5.6,11.3,20.4,109,93,2.2
Keita Bates-Diop,15:36,.583,.583,.333,.000,0.0,31.4,16.9,20.0,0.0,6.8,14.3,19.7,104,102,4.2
Drew Eubanks,12:19,.500,.500,.000,.000,9.3,23.9,17.1,32.4,0.0,0.0,33.3,10.7,110,108,1.8
