Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,36:29,8,21,.381,0,2,.000,4,4,1.000,1,5,6,4,0,0,4,2,20,-20
Dejounte Murray,34:33,7,13,.538,0,2,.000,0,0,,0,4,4,9,2,0,5,1,14,+2
Trey Lyles,26:49,7,9,.778,1,2,.500,0,0,,0,10,10,1,1,0,0,2,15,-14
Lonnie Walker,23:37,3,6,.500,3,4,.750,2,2,1.000,0,0,0,0,1,2,2,2,11,-4
Jakob Poeltl,22:43,1,3,.333,0,0,,0,0,,2,3,5,2,1,1,3,5,2,-13
Patty Mills,26:47,4,12,.333,3,10,.300,2,2,1.000,0,2,2,1,1,0,1,3,13,+7
Keldon Johnson,22:02,3,6,.500,1,4,.250,2,2,1.000,0,3,3,1,1,0,1,4,9,-1
Luka Šamanić,19:05,3,7,.429,1,5,.200,2,2,1.000,2,5,7,0,2,1,1,3,9,+4
Keita Bates-Diop,15:36,3,6,.500,1,2,.500,0,0,,0,5,5,2,0,1,1,0,7,+3
Drew Eubanks,12:19,1,2,.500,0,0,,0,0,,1,3,4,3,0,0,1,2,2,+11
