Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Malachi Flynn,39:11,.653,.643,.214,.214,0.0,6.0,3.5,31.2,2.4,0.0,16.4,20.6,133,116,-1.7
Gary Trent,32:59,1.083,1.079,.474,.158,0.0,24.8,14.3,20.6,1.4,0.0,4.7,28.4,200,115,21.0
OG Anunoby,29:33,.631,.591,.545,.182,0.0,19.8,11.4,10.9,0.0,0.0,7.8,19.2,126,119,-6.5
Chris Boucher,25:51,.409,.409,.455,.000,6.2,4.5,5.2,12.2,1.8,14.6,15.4,22.1,89,107,-8.9
DeAndre' Bembry,21:39,.666,.625,.125,.500,7.4,16.2,12.5,10.6,0.0,13.0,33.9,30.0,95,110,-6.8
Yuta Watanabe,22:59,1.000,1.000,.286,.000,0.0,25.5,14.7,5.2,2.0,0.0,12.5,15.3,163,113,3.3
Stanley Johnson,19:33,.615,.500,.500,.500,8.2,12.0,10.4,10.2,7.1,9.6,17.0,13.2,127,97,6.4
Freddie Gillespie,18:16,.750,.750,.000,.000,17.5,12.8,14.8,5.8,7.6,5.2,20.0,12.0,139,99,8.9
Rodney Hood,17:34,.600,.600,.800,.000,0.0,26.7,15.4,11.5,0.0,5.4,16.7,15.0,112,114,-2.6
Aron Baynes,12:25,.333,.333,.000,.000,0.0,28.3,16.3,0.0,3.7,0.0,25.0,14.2,49,109,-13.4
