Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,38:41,8,17,.471,3,7,.429,1,2,.500,0,6,6,6,0,0,4,1,20,-15
Kyle Lowry,38:34,7,15,.467,4,9,.444,0,0,,1,0,1,10,1,0,6,3,18,-1
OG Anunoby,36:13,4,10,.400,0,5,.000,0,0,,2,6,8,2,3,2,4,4,8,-14
Fred VanVleet,29:36,3,12,.250,2,8,.250,1,2,.500,1,2,3,3,3,0,1,4,9,-18
Aron Baynes,28:06,5,9,.556,1,4,.250,0,0,,1,8,9,0,0,0,1,2,11,-17
Norman Powell,23:09,2,11,.182,1,6,.167,7,8,.875,0,1,1,1,1,0,0,4,12,-13
Matt Thomas,20:17,3,6,.500,3,5,.600,0,0,,0,2,2,4,2,0,0,2,9,-1
Chris Boucher,14:47,6,8,.750,0,1,.000,0,0,,2,3,5,0,0,2,2,2,12,+2
DeAndre' Bembry,5:30,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,+4
Terence Davis,2:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1
Stanley Johnson,1:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Malachi Flynn,1:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2
