Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,34:28,.643,.600,.500,.200,0.0,11.4,6.1,23.2,0.0,0.0,26.9,18.0,112,116,-5.6
Pascal Siakam,34:28,.617,.583,.222,.389,3.2,11.4,7.6,7.6,1.3,2.7,4.5,26.7,125,111,0.8
Kyle Lowry,32:47,.750,.750,.571,.000,0.0,12.0,6.4,19.6,2.8,2.8,6.7,19.1,146,108,10.8
Norman Powell,31:42,.693,.639,.222,.278,7.0,15.5,11.5,17.9,2.9,0.0,9.0,29.2,137,108,7.3
Aron Baynes,21:03,.581,.500,.167,.333,0.0,18.6,9.9,21.6,0.0,0.0,12.7,15.6,125,114,1.8
Chris Boucher,24:30,.650,.550,.200,.700,13.7,52.0,34.1,5.0,0.0,7.5,7.1,24.0,137,99,4.1
DeAndre' Bembry,23:50,1.000,1.000,.400,.000,14.1,0.0,6.6,14.8,0.0,0.0,16.7,10.5,178,119,6.3
Terence Davis,18:46,.650,.650,.500,.000,0.0,10.4,5.6,0.0,0.0,0.0,9.1,24.4,110,116,-4.2
Stanley Johnson,13:32,.000,.000,1.000,.000,0.0,0.0,0.0,7.2,0.0,0.0,0.0,3.1,66,119,-9.5
Paul Watson,2:27,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,37.7,0.0,17.0,0,97,-8.8
Matt Thomas,2:27,,,,,0.0,40.0,21.3,40.0,0.0,0.0,,0.0,239,106,1.8
