Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,37:09,2,9,.222,1,4,.250,0,0,,0,3,3,11,2,2,3,1,5,-17
Pascal Siakam,35:07,8,14,.571,2,4,.500,5,7,.714,0,4,4,2,1,0,1,2,23,-11
Kyle Lowry,32:31,10,15,.667,1,4,.250,3,3,1.000,0,1,1,6,1,0,3,5,24,-16
Norman Powell,31:45,6,15,.400,0,4,.000,3,3,1.000,0,4,4,0,0,0,1,5,15,-6
Aron Baynes,20:47,4,9,.444,0,1,.000,0,0,,3,5,8,2,0,0,2,3,8,-11
Chris Boucher,25:08,4,8,.500,2,4,.500,2,4,.500,0,6,6,1,1,5,1,5,12,-7
DeAndre' Bembry,22:50,2,2,1.000,0,0,,0,0,,0,1,1,2,0,1,0,3,4,+1
Stanley Johnson,16:04,3,5,.600,1,3,.333,2,2,1.000,0,3,3,0,2,0,2,1,9,-4
Terence Davis,13:41,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-3
Paul Watson,2:53,2,2,1.000,2,2,1.000,0,0,,0,1,1,1,0,0,0,1,6,0
Matt Thomas,2:05,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+4
