Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,33:26,13,20,.650,6,9,.667,3,4,.750,1,7,8,3,2,0,2,2,35,-9
Pascal Siakam,32:57,7,15,.467,2,5,.400,6,7,.857,2,4,6,3,0,1,1,5,22,-13
Kyle Lowry,32:52,5,13,.385,1,5,.200,7,8,.875,0,5,5,5,2,0,1,4,18,-5
OG Anunoby,29:35,3,8,.375,1,4,.250,3,5,.600,0,0,0,1,1,0,1,4,10,-12
Aron Baynes,13:37,0,5,.000,0,0,,0,0,,3,1,4,0,0,0,0,1,0,-4
Chris Boucher,20:59,2,6,.333,1,4,.250,4,6,.667,1,5,6,1,2,2,1,1,9,-4
Terence Davis,17:09,4,8,.500,1,2,.500,4,4,1.000,1,1,2,3,1,0,1,2,13,+5
Norman Powell,16:26,1,6,.167,0,2,.000,2,4,.500,0,0,0,0,1,0,0,2,4,-15
Malachi Flynn,15:45,0,6,.000,0,4,.000,0,0,,0,0,0,1,1,0,0,1,0,-3
Stanley Johnson,10:58,0,1,.000,0,1,.000,0,0,,0,2,2,2,3,0,2,1,0,-3
Alex Len,8:57,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,2,0,-6
Yuta Watanabe,4:16,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+7
Paul Watson,3:03,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,1,0,+2
