Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Norman Powell,40:54,.831,.808,.538,.462,4.3,7.0,5.6,8.2,2.3,0.0,6.0,17.7,155,118,8.2
Fred VanVleet,38:07,.280,.235,.647,.118,0.0,12.6,6.0,36.8,5.0,7.7,10.1,22.7,82,105,0.7
Kyle Lowry,37:24,.844,.833,.667,.083,2.3,12.8,7.3,13.3,0.0,0.0,24.3,19.1,118,121,0.2
Pascal Siakam,35:07,.458,.458,.333,.000,9.9,13.7,11.7,13.2,0.0,0.0,14.3,17.4,100,120,-7.0
Aron Baynes,22:54,.458,.458,.583,.000,3.8,21.0,12.0,15.2,0.0,12.8,0.0,22.8,102,110,-2.8
Terence Davis,19:29,.424,.444,.667,.111,0.0,9.9,4.7,16.1,0.0,0.0,0.0,21.1,94,122,-5.5
Stanley Johnson,13:57,.750,.750,1.000,.000,0.0,20.6,9.8,33.2,6.9,0.0,20.0,15.6,130,102,13.0
Yuta Watanabe,13:53,.500,.500,.600,.000,6.3,41.5,23.0,0.0,0.0,0.0,0.0,15.7,106,109,-5.0
Chris Boucher,13:12,.506,.444,.556,.222,6.6,14.5,10.4,13.4,0.0,14.8,0.0,32.6,111,112,6.1
Paul Watson,5:03,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,17.2,0,123,-37.3
