Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Norman Powell,38:55,.715,.700,.500,.350,0.0,7.6,3.6,17.4,0.0,0.0,4.2,24.7,143,122,7.4
Kyle Lowry,38:43,.453,.382,.471,.235,0.0,15.2,7.2,41.6,0.0,0.0,32.4,28.7,83,120,-8.9
DeAndre' Bembry,36:58,.500,.500,.222,.000,2.4,10.6,6.3,7.1,3.7,0.0,18.2,11.9,93,113,-3.7
Aron Baynes,29:58,.328,.267,.133,.267,20.8,26.2,23.3,0.0,0.0,6.7,5.6,23.7,90,113,-10.6
Stanley Johnson,26:48,.786,.786,.714,.000,3.3,11.0,7.0,10.3,1.7,0.0,0.0,10.4,166,117,6.4
Chris Boucher,30:25,.783,.733,.267,.533,11.7,16.1,13.8,6.0,3.0,6.6,5.1,25.6,157,109,15.1
Paul Watson,20:23,.250,.250,.667,.000,0.0,24.0,11.4,5.9,2.2,0.0,0.0,11.8,66,112,-8.4
Terence Davis,9:49,.400,.400,.200,.000,0.0,29.9,14.2,15.2,4.7,0.0,0.0,20.4,94,105,0.7
Yuta Watanabe,7:50,.750,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,146,125,1.4
Matt Thomas,0:10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,-7.0
