Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,38:46,5,17,.294,3,10,.300,5,6,.833,0,4,4,7,5,4,2,3,18,-9
Pascal Siakam,37:40,2,9,.222,1,3,.333,9,10,.900,1,6,7,4,1,0,2,3,14,-7
OG Anunoby,36:29,7,18,.389,4,11,.364,2,2,1.000,3,8,11,3,3,1,2,3,20,-3
Gary Trent,36:00,12,22,.545,6,11,.545,1,2,.500,0,2,2,0,2,0,0,2,31,+3
Aron Baynes,21:19,0,3,.000,0,1,.000,0,0,,2,0,2,1,0,0,0,3,0,+6
Malachi Flynn,19:32,1,4,.250,0,2,.000,0,0,,0,0,0,2,2,0,0,3,2,-17
Chris Boucher,19:02,4,10,.400,2,6,.333,0,0,,1,3,4,3,0,2,1,2,10,-10
Stanley Johnson,18:22,4,5,.800,0,0,,0,0,,0,5,5,1,0,0,0,4,8,-3
Yuta Watanabe,7:13,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-4
Rodney Hood,5:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
