Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Pascal Siakam,41:41,.466,.438,.208,.167,0.0,23.7,10.2,8.1,3.6,0.0,13.4,32.7,82,108,-4.5
Fred VanVleet,41:10,.533,.521,.583,.125,0.0,6.9,3.0,53.5,2.5,2.8,10.6,31.5,112,110,9.8
Stanley Johnson,32:51,.357,.357,.571,.000,3.2,8.6,5.5,0.0,3.1,3.6,12.5,11.2,69,108,-5.6
Khem Birch,31:57,.597,.600,.100,.200,10.0,22.1,15.2,0.0,0.0,0.0,8.4,17.0,116,117,-5.2
Yuta Watanabe,30:15,.500,.500,.833,.000,3.5,23.3,12.1,4.3,3.3,0.0,14.3,10.6,95,109,-0.1
DeAndre' Bembry,16:56,.667,.667,.333,.000,0.0,33.3,14.4,24.8,0.0,0.0,0.0,8.1,155,116,1.2
Freddie Gillespie,15:09,.717,.750,.000,.500,14.1,18.6,16.0,10.4,3.3,7.7,0.0,14.8,157,103,10.1
Jalen Harris,13:18,1.375,1.375,.750,.000,0.0,10.6,4.6,14.1,0.0,0.0,20.0,17.2,186,118,19.2
Malachi Flynn,13:15,.129,.000,.333,.667,0.0,21.3,9.2,9.1,0.0,0.0,20.5,16.9,34,117,-18.5
Rodney Hood,3:28,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,95,119,-5.9
