Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,41:41,10,24,.417,1,5,.200,3,4,.750,0,7,7,2,3,0,4,2,24,-4
Fred VanVleet,41:10,10,24,.417,5,14,.357,2,3,.667,0,2,2,13,2,1,3,2,27,+1
Stanley Johnson,32:51,2,7,.286,1,4,.250,0,0,,1,2,3,0,2,1,1,3,5,-15
Khem Birch,31:57,6,10,.600,0,1,.000,1,2,.500,3,5,8,0,0,0,1,4,13,-10
Yuta Watanabe,30:15,2,6,.333,2,5,.400,0,0,,1,5,6,1,2,0,1,0,6,-13
DeAndre' Bembry,16:56,2,3,.667,0,1,.000,0,0,,0,4,4,3,0,0,0,2,4,+2
Freddie Gillespie,15:09,3,4,.750,0,0,,1,2,.500,2,2,4,1,1,1,0,1,7,+5
Jalen Harris,13:18,4,4,1.000,3,3,1.000,0,0,,0,1,1,1,0,0,1,0,11,+3
Malachi Flynn,13:15,0,3,.000,0,1,.000,1,2,.500,0,2,2,1,0,0,1,1,1,+5
Rodney Hood,3:28,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+1
