Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Clarkson,46:07,.500,.500,.556,.000,0.0,13.7,6.5,15.7,1.1,0.0,6.9,27.9,93,122,-4.5
Bojan Bogdanović,39:35,.539,.433,.533,.400,0.0,9.6,4.5,7.6,2.5,0.0,10.2,22.0,100,120,-3.6
Royce O'Neale,39:34,.500,.500,.714,.000,2.9,22.3,12.0,15.8,0.0,0.0,12.5,17.9,96,123,-4.9
Joe Ingles,39:23,.672,.643,.857,.143,0.0,9.6,4.5,55.5,3.8,0.0,21.2,21.3,126,117,9.4
Ersan İlyasova,31:35,.909,.909,.727,.000,3.6,16.0,9.4,0.0,6.3,5.6,8.3,16.8,139,106,13.2
Georges Niang,21:52,.375,.375,.417,.000,10.3,17.3,13.6,15.0,0.0,0.0,14.3,28.4,77,124,-13.2
Juwan Morgan,19:48,.750,.750,.000,.000,5.7,25.5,15.0,15.8,0.0,0.0,20.0,11.2,131,122,-4.3
Trent Forrest,11:47,.000,.000,.000,.000,0.0,10.7,5.1,21.4,0.0,0.0,0.0,3.8,95,125,-9.6
Jarrell Brantley,6:38,,,,,0.0,0.0,0.0,19.0,0.0,13.3,100.0,6.7,52,118,-7.4
Matt Thomas,6:33,.000,.000,.333,.000,17.2,0.0,9.1,0.0,0.0,0.0,0.0,20.3,27,128,-25.1
Miye Oni,2:08,,,,,0.0,59.2,27.9,0.0,0.0,0.0,,0.0,0,114,-5.2
