Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,46:07,11,27,.407,5,15,.333,0,0,,0,5,5,4,1,0,2,3,27,-6
Bojan Bogdanović,39:35,5,15,.333,3,8,.375,6,6,1.000,0,3,3,2,2,0,2,1,19,-16
Royce O'Neale,39:34,6,14,.429,2,10,.200,0,0,,1,7,8,4,0,0,2,1,14,+2
Joe Ingles,39:23,6,14,.429,6,12,.500,2,2,1.000,0,3,3,14,3,0,4,3,20,-5
Ersan İlyasova,31:35,7,11,.636,6,8,.750,0,0,,1,4,5,0,4,2,1,6,20,+8
Georges Niang,21:52,4,12,.333,1,5,.200,0,0,,2,3,5,2,0,0,2,2,9,-12
Juwan Morgan,19:48,3,4,.750,0,0,,0,0,,1,4,5,2,0,0,1,4,6,-19
Trent Forrest,11:47,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,-3
Jarrell Brantley,6:38,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,1,0,-5
Matt Thomas,6:33,0,3,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-6
Miye Oni,2:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
