Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,33:32,5,8,.625,2,5,.400,0,0,,3,5,8,1,1,0,2,2,12,+9
Donovan Mitchell,33:20,9,22,.409,2,6,.333,4,6,.667,3,5,8,7,3,1,3,2,24,+15
Rudy Gobert,31:43,8,12,.667,0,0,,7,8,.875,5,15,20,1,1,1,0,0,23,+25
Joe Ingles,24:08,5,7,.714,3,4,.750,1,1,1.000,0,3,3,5,1,0,2,3,14,+10
Bojan Bogdanović,23:09,2,10,.200,0,3,.000,1,1,1.000,0,1,1,1,1,0,3,1,5,-5
Jordan Clarkson,33:15,7,23,.304,4,12,.333,0,0,,2,2,4,3,2,0,2,1,18,+18
Georges Niang,23:10,2,9,.222,1,7,.143,2,2,1.000,1,1,2,0,0,0,0,1,7,+24
Miye Oni,15:07,2,2,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,3,5,+8
Derrick Favors,13:58,2,3,.667,0,0,,2,2,1.000,2,3,5,0,3,1,1,1,6,-4
Trent Forrest,2:19,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-3
Juwan Morgan,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Jarrell Brantley,2:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Shaquille Harrison,1:41,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
