Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Royce O'Neale,30:50,.750,.750,1.000,.000,6.6,6.1,6.4,12.3,1.7,0.0,0.0,5.9,184,99,5.7
Donovan Mitchell,30:38,.366,.313,.438,.250,6.7,24.6,16.0,36.1,3.4,0.0,5.3,27.8,110,89,3.0
Mike Conley,26:54,.700,.700,.600,.000,11.4,17.5,14.6,44.5,3.9,0.0,23.1,22.0,137,90,13.5
Rudy Gobert,26:54,.676,.667,.000,.250,3.8,28.0,16.4,0.0,0.0,3.4,18.4,27.6,105,93,-0.3
Bojan Bogdanović,26:25,.750,.750,.800,.000,0.0,7.1,3.7,11.4,3.9,0.0,0.0,17.2,155,95,14.4
Jordan Clarkson,23:30,.648,.615,.769,.154,0.0,16.0,8.3,14.2,0.0,0.0,0.0,26.8,140,98,6.2
Joe Ingles,22:27,.500,.500,1.000,.000,4.5,8.4,6.5,11.0,0.0,0.0,50.0,12.1,73,102,-10.4
Georges Niang,17:22,.375,.375,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,83,106,-9.0
Derrick Favors,16:54,.888,1.000,.000,.800,18.1,22.3,20.3,0.0,0.0,0.0,12.9,20.9,152,96,6.4
Miye Oni,5:07,1.000,1.000,1.000,.000,0.0,36.8,19.1,0.0,0.0,0.0,0.0,26.7,174,91,26.9
Trent Forrest,4:35,.000,.000,.000,.000,0.0,0.0,0.0,76.6,0.0,0.0,50.0,19.8,84,106,-7.3
Jarrell Brantley,4:12,.500,.500,.500,.000,24.3,44.8,35.0,0.0,0.0,0.0,0.0,21.6,126,89,1.2
Juwan Morgan,4:12,.568,,,,24.3,0.0,11.7,0.0,0.0,0.0,0.0,9.5,156,106,0.4
