Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,29:04,3,4,.750,3,4,.750,2,4,.500,1,10,11,5,0,0,0,2,11,+17
Donovan Mitchell,28:36,8,17,.471,5,9,.556,1,1,1.000,2,2,4,9,0,0,4,1,22,+18
Rudy Gobert,27:27,2,7,.286,0,0,,3,6,.500,2,14,16,1,0,6,4,1,7,+18
Bojan Bogdanović,26:58,10,13,.769,6,7,.857,2,3,.667,0,1,1,3,1,0,1,2,28,+14
Mike Conley,26:53,6,11,.545,3,6,.500,0,0,,0,0,0,4,1,0,4,2,15,+22
Jordan Clarkson,23:26,8,13,.615,2,6,.333,0,0,,0,3,3,3,2,0,4,1,18,+20
Joe Ingles,20:40,5,9,.556,2,6,.333,1,2,.500,2,5,7,1,0,0,0,1,13,+15
Derrick Favors,14:58,2,3,.667,0,0,,2,3,.667,1,3,4,2,0,2,0,2,6,+13
Georges Niang,13:21,1,3,.333,0,2,.000,0,0,,0,6,6,0,0,0,0,1,2,+14
Miye Oni,6:17,0,1,.000,0,0,,0,0,,1,2,3,0,0,1,1,3,0,-6
Shaquille Harrison,5:35,3,4,.750,0,0,,0,0,,0,0,0,1,0,0,1,0,6,-10
Udoka Azubuike,5:35,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,1,2,-10
Elijah Hughes,5:35,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-10
Juwan Morgan,5:35,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-10
