Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Donovan Mitchell,27:28,.595,.583,.444,.167,7.8,18.6,13.3,35.8,1.7,0.0,9.4,31.1,128,104,7.9
Mike Conley,26:57,.773,.773,.818,.000,4.0,0.0,1.9,5.2,5.1,0.0,15.4,19.3,128,98,7.1
Royce O'Neale,26:28,.750,.750,1.000,.000,0.0,15.4,7.9,13.8,0.0,0.0,14.3,10.6,140,108,2.3
Bojan Bogdanović,26:00,.448,.346,.692,.462,4.1,23.6,14.0,37.4,0.0,0.0,6.0,25.7,123,107,2.7
Rudy Gobert,24:06,.709,.667,.000,.667,17.7,42.4,30.3,10.8,0.0,3.7,0.0,12.9,171,102,7.7
Jordan Clarkson,18:36,.618,.550,.500,.300,0.0,11.0,5.6,8.0,2.5,0.0,8.1,26.6,123,103,1.3
Georges Niang,18:09,.500,.500,.286,.000,0.0,22.5,11.5,0.0,2.5,0.0,36.4,24.3,59,101,-15.2
Joe Ingles,17:55,.813,.813,.750,.000,0.0,0.0,0.0,25.4,0.0,5.0,11.1,20.1,150,105,11.3
Derrick Favors,14:17,.654,.667,.000,.333,29.9,28.6,29.2,10.6,0.0,6.2,0.0,19.3,157,101,6.3
Miye Oni,11:13,.129,.000,1.000,.667,0.0,27.3,14.0,0.0,0.0,0.0,20.5,17.4,25,107,-20.4
Udoka Azubuike,9:37,.694,.500,.000,1.000,22.2,21.2,21.7,0.0,0.0,9.2,25.8,16.2,127,98,-5.2
Juwan Morgan,9:37,.750,.750,1.000,.000,0.0,10.6,5.4,12.5,0.0,0.0,33.3,12.5,106,109,0.0
Shaquille Harrison,9:37,.500,.500,.000,.000,0.0,21.2,10.9,25.0,0.0,0.0,33.3,12.5,98,108,-3.6
