Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,36:00,9,23,.391,3,9,.333,7,8,.875,1,6,7,8,1,1,4,1,28,+21
Rudy Gobert,32:24,5,9,.556,0,0,,4,6,.667,2,11,13,1,0,6,2,1,14,+9
Bojan Bogdanović,32:02,3,10,.300,2,6,.333,7,8,.875,0,5,5,3,1,0,1,0,15,+26
Mike Conley,31:39,8,12,.667,3,6,.500,1,1,1.000,0,4,4,4,1,0,3,2,20,+11
Royce O'Neale,30:15,3,5,.600,2,4,.500,2,2,1.000,2,9,11,3,2,0,2,4,10,+18
Joe Ingles,25:50,3,5,.600,2,4,.500,0,0,,0,3,3,3,0,1,2,2,8,-5
Jordan Clarkson,20:58,6,12,.500,3,8,.375,0,0,,1,1,2,0,1,0,3,3,15,-3
Derrick Favors,15:36,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,3,0,+6
Georges Niang,13:39,2,5,.400,0,3,.000,0,0,,0,4,4,1,1,2,0,1,4,-10
Miye Oni,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
