Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rudy Gobert,27:47,.726,.625,.000,1.250,16.1,43.2,30.9,0.0,3.7,14.1,0.0,20.6,162,60,16.9
Mike Conley,25:49,.804,.722,.556,.556,0.0,14.3,7.8,32.4,0.0,0.0,8.2,21.8,158,86,11.6
Donovan Mitchell,24:55,.638,.643,.500,.143,9.0,0.0,4.1,31.4,2.1,3.9,16.8,33.1,112,82,9.9
Bojan Bogdanović,23:54,.300,.300,.400,.000,0.0,7.7,4.2,27.9,0.0,0.0,16.7,11.6,95,87,-4.4
Royce O'Neale,23:08,.833,.833,.667,.000,0.0,16.0,8.7,12.3,0.0,0.0,0.0,6.0,175,85,2.8
Jordan Clarkson,19:26,.302,.250,.500,.143,0.0,28.5,15.6,8.1,0.0,0.0,6.3,37.7,65,83,-17.9
Joe Ingles,18:28,.902,1.000,1.000,.667,0.0,10.0,5.5,31.7,2.8,0.0,34.0,14.7,125,81,6.4
Georges Niang,16:29,.900,.900,1.000,.000,0.0,16.8,9.2,10.0,0.0,0.0,16.7,16.8,127,86,9.4
Miye Oni,12:00,1.000,1.000,1.000,.000,0.0,30.8,16.8,0.0,4.3,0.0,25.0,15.4,107,73,10.8
Trent Forrest,12:00,.000,.000,.000,.000,0.0,0.0,0.0,31.6,0.0,0.0,50.0,7.7,79,89,-8.1
Derrick Favors,10:11,.600,.600,.000,.000,21.9,27.2,24.8,19.8,0.0,0.0,0.0,22.6,141,83,5.5
Matt Thomas,9:15,.625,.625,.750,.000,0.0,39.9,21.8,37.6,5.6,0.0,0.0,19.9,141,67,13.9
Jarrell Brantley,6:36,.410,.250,.250,.500,16.9,14.0,15.3,23.7,0.0,0.0,0.0,34.1,112,85,-5.6
Ersan İlyasova,6:25,.333,.333,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,67,89,-17.4
Elijah Hughes,3:37,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.5,58,90,10.0
