Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Russell Westbrook,40:44,.373,.324,.235,.235,4.8,37.9,22.4,36.7,3.1,0.0,32.4,25.2,73,94,-4.6
Bradley Beal,36:27,.561,.429,.286,.524,2.7,21.2,12.5,19.2,2.3,0.0,3.7,27.2,128,101,6.6
Raul Neto,36:17,.787,.773,.545,.091,5.4,2.4,3.8,18.4,3.5,0.0,14.9,13.7,141,104,7.4
Deni Avdija,13:51,.510,.400,.000,.400,7.1,12.4,9.9,0.0,3.1,0.0,14.5,18.4,100,102,-1.8
Alex Len,13:09,.521,.500,.000,1.000,14.9,6.5,10.4,0.0,0.0,6.5,51.0,16.5,63,106,-14.6
Dāvis Bertāns,30:01,.669,.583,.833,.417,0.0,17.1,9.1,0.0,1.4,0.0,0.0,17.5,146,104,5.1
Daniel Gafford,24:07,.635,.636,.000,.818,16.2,21.3,19.0,0.0,0.0,10.7,6.3,24.5,128,99,6.4
Ish Smith,18:49,.167,.167,.000,.000,5.2,9.1,7.3,28.8,2.3,4.6,14.3,13.8,69,101,-3.5
Isaac Bonga,10:06,.773,.667,.333,.667,0.0,0.0,0.0,16.7,4.2,0.0,20.5,17.9,129,103,6.0
Robin Lopez,9:49,.000,.000,.000,.000,20.0,0.0,9.3,0.0,0.0,17.5,60.0,18.8,23,100,-16.5
Garrison Mathews,6:40,.532,.000,1.000,2.000,0.0,12.9,6.9,0.0,0.0,0.0,0.0,10.4,131,109,-3.8
