Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,42:21,9,26,.346,0,3,.000,4,4,1.000,4,9,13,14,1,1,6,4,22,-11
Bradley Beal,41:36,20,37,.541,0,4,.000,5,5,1.000,2,1,3,1,0,0,0,2,45,-1
Rui Hachimura,31:41,5,7,.714,1,1,1.000,2,2,1.000,1,5,6,1,1,1,0,2,13,+6
Raul Neto,24:49,2,4,.500,0,2,.000,2,2,1.000,0,4,4,1,1,0,0,1,6,+2
Alex Len,23:21,8,9,.889,1,1,1.000,0,1,.000,6,4,10,1,0,1,0,4,17,+6
Dāvis Bertāns,34:25,3,5,.600,3,5,.600,4,4,1.000,1,3,4,0,0,2,1,2,13,-9
Ish Smith,25:57,3,7,.429,0,0,,0,0,,0,2,2,8,0,0,0,1,6,+3
Daniel Gafford,15:15,1,3,.333,0,0,,4,6,.667,3,1,4,0,0,2,1,4,6,-9
Anthony Gill,13:55,6,7,.857,1,1,1.000,0,1,.000,1,2,3,0,1,1,0,2,13,+2
Garrison Mathews,11:40,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,0,1,2,-4
