Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Russell Westbrook,37:44,.587,.559,.235,.118,0.0,43.4,22.7,54.8,1.2,0.0,25.1,26.5,102,107,1.5
Bradley Beal,36:32,.594,.475,.250,.500,6.6,6.0,6.3,15.7,2.5,2.6,17.0,33.8,106,107,0.2
Thomas Bryant,33:32,.580,.611,.222,.556,10.7,9.8,10.2,9.6,0.0,5.6,26.3,19.0,93,110,-6.6
Deni Avdija,26:19,.750,.750,.833,.000,0.0,16.6,8.7,23.1,3.5,3.6,14.3,11.2,133,102,6.5
Isaac Bonga,15:49,.000,.000,1.000,.000,7.6,20.7,14.5,0.0,0.0,0.0,33.3,8.0,24,113,-14.1
Dāvis Bertāns,26:17,.716,.550,.900,.900,4.6,12.5,8.7,12.3,1.7,0.0,0.0,22.3,156,110,8.1
Ish Smith,21:15,.286,.286,.286,.000,0.0,10.3,5.4,7.0,0.0,8.9,0.0,13.8,67,107,-6.0
Raul Neto,14:44,.143,.143,.857,.000,0.0,7.4,3.9,0.0,0.0,0.0,0.0,19.9,32,115,-21.8
Robin Lopez,13:33,.750,.750,.000,.000,8.9,40.3,25.3,0.0,0.0,0.0,20.0,15.5,112,110,-5.7
Troy Brown,10:25,.000,.000,1.000,.000,0.0,10.5,5.5,24.9,0.0,0.0,50.0,8.1,48,114,-8.7
Anthony Gill,3:25,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,300,116,20.8
Garrison Mathews,0:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-8.1
