Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,37:44,9,17,.529,1,4,.250,2,2,1.000,0,15,15,11,1,0,6,3,21,+3
Bradley Beal,36:32,9,20,.450,1,5,.200,10,10,1.000,2,2,4,3,2,1,5,4,29,-12
Thomas Bryant,33:32,5,9,.556,1,2,.500,2,5,.400,3,3,6,2,0,2,4,5,13,-11
Deni Avdija,26:19,3,6,.500,3,5,.600,0,0,,0,4,4,4,2,1,1,5,9,-5
Isaac Bonga,15:49,0,2,.000,0,2,.000,0,0,,1,3,4,0,0,0,1,1,0,-4
Dāvis Bertāns,26:17,4,10,.400,3,9,.333,9,9,1.000,1,3,4,2,1,0,0,4,20,+6
Ish Smith,21:15,2,7,.286,0,2,.000,0,0,,0,2,2,1,0,2,0,0,4,-10
Raul Neto,14:44,1,7,.143,0,6,.000,0,0,,0,1,1,0,0,0,0,1,2,-11
Robin Lopez,13:33,3,4,.750,0,0,,0,0,,1,5,6,0,0,0,1,4,6,0
Troy Brown,10:25,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,1,0,+2
Anthony Gill,3:25,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-1
Garrison Mathews,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
