Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,27:24,1,14,.071,1,7,.143,4,4,1.000,1,2,3,3,3,0,1,3,7,-25
Rui Hachimura,27:00,4,13,.308,2,6,.333,2,2,1.000,1,1,2,3,0,0,2,1,12,-25
Russell Westbrook,24:36,4,9,.444,0,1,.000,5,7,.714,1,2,3,3,0,0,6,2,13,-22
Robin Lopez,19:40,3,5,.600,0,1,.000,0,0,,4,3,7,1,0,1,1,2,6,-22
Deni Avdija,16:06,2,5,.400,0,2,.000,0,0,,0,6,6,0,1,1,0,3,4,-11
Ish Smith,25:46,4,9,.444,0,3,.000,0,0,,1,4,5,5,0,0,1,0,8,-9
Alex Len,24:13,7,12,.583,0,3,.000,4,4,1.000,2,1,3,2,2,6,2,1,18,+2
Isaac Bonga,18:14,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,1,1,3,+2
Jerome Robinson,16:14,2,8,.250,1,3,.333,2,2,1.000,2,2,4,0,1,0,1,1,7,+5
Dāvis Bertāns,16:08,2,3,.667,2,2,1.000,3,3,1.000,0,0,0,1,0,1,1,2,9,-18
Troy Brown,15:46,2,6,.333,1,2,.500,0,1,.000,0,4,4,0,0,0,1,1,5,+2
Garrison Mathews,4:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7
Moritz Wagner,4:07,1,2,.500,0,0,,1,1,1.000,0,1,1,1,0,0,0,3,3,-7
