Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Russell Westbrook,34:32,.467,.455,.182,.273,4.7,18.7,11.3,69.2,1.4,0.0,16.9,36.9,92,106,3.8
Rui Hachimura,32:45,.421,.364,.182,.182,0.0,14.1,6.6,0.0,0.0,0.0,7.8,16.9,78,110,-10.5
Dāvis Bertāns,31:10,.580,.500,1.000,.667,2.6,11.8,6.9,5.0,1.5,0.0,0.0,10.7,125,108,-1.5
Garrison Mathews,25:20,.504,.462,.769,.154,3.2,0.0,1.7,0.0,0.0,5.1,0.0,23.5,102,112,2.9
Alex Len,21:01,.571,.571,.143,.000,0.0,17.6,8.2,0.0,0.0,6.2,12.5,16.3,91,105,-5.0
Deni Avdija,21:30,.405,.389,.556,.222,7.6,17.2,12.1,0.0,0.0,0.0,16.8,23.7,73,109,-11.6
Troy Brown,21:24,.635,.571,.714,.286,0.0,21.6,10.1,8.2,0.0,0.0,27.6,21.8,88,108,-3.7
Robin Lopez,20:40,.363,.333,.000,.333,7.9,8.9,8.4,0.0,2.3,0.0,12.7,16.4,75,108,-9.1
Raul Neto,14:58,.400,.400,.000,.000,0.0,24.7,11.6,23.3,3.2,4.3,0.0,14.3,93,97,1.3
Ish Smith,12:02,.000,.000,.333,.000,6.8,7.7,7.2,58.7,3.9,0.0,25.0,14.3,62,105,-2.0
Moritz Wagner,4:38,,,,,0.0,19.9,9.3,30.5,0.0,0.0,,0.0,226,109,0.9
