Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,37:58,7,25,.280,1,7,.143,9,12,.750,1,4,5,10,2,0,2,2,24,0
Bradley Beal,36:28,9,25,.360,2,5,.400,7,9,.778,4,6,10,5,1,2,2,1,27,-2
Rui Hachimura,33:24,6,11,.545,0,3,.000,3,4,.750,1,1,2,3,1,0,1,4,15,-11
Thomas Bryant,27:40,9,12,.750,1,2,.500,2,2,1.000,2,12,14,2,1,0,1,4,21,-1
Deni Avdija,16:23,1,4,.250,1,2,.500,0,0,,0,1,1,1,1,1,1,2,3,-9
Dāvis Bertāns,30:40,5,12,.417,4,10,.400,1,1,1.000,1,5,6,0,0,0,0,3,15,+16
Robin Lopez,20:19,2,4,.500,1,1,1.000,3,6,.500,2,3,5,1,1,0,0,1,8,+2
Raul Neto,14:22,2,4,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,5,-3
Jerome Robinson,11:45,0,3,.000,0,1,.000,0,0,,0,2,2,2,1,0,0,2,0,+9
Ish Smith,10:58,2,4,.500,1,1,1.000,0,0,,2,2,4,2,1,0,0,1,5,+4
