Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bradley Beal,35:27,.523,.446,.179,.286,2.8,11.8,7.2,32.3,0.0,2.7,13.7,43.0,98,109,4.2
Robin Lopez,29:50,.625,.625,.000,.000,10.1,3.5,6.8,19.3,1.6,0.0,0.0,11.2,142,109,3.5
Russell Westbrook,28:26,.463,.441,.235,.471,7.0,33.0,19.8,55.8,0.0,0.0,22.6,38.9,85,105,-2.1
Isaac Bonga,25:38,.000,.000,.667,.000,0.0,16.3,8.0,0.0,0.0,0.0,25.0,6.5,0,109,-15.0
Anthony Gill,22:15,.250,.250,.750,.000,9.0,28.1,18.4,14.0,2.1,0.0,33.3,11.2,60,102,-5.5
Jerome Robinson,29:45,.286,.286,.429,.000,0.0,17.5,8.6,5.4,1.6,0.0,22.2,12.6,51,106,-10.6
Garrison Mathews,23:08,.769,.500,.667,1.667,4.3,4.5,4.4,0.0,2.0,0.0,0.0,9.4,173,107,0.0
Raul Neto,22:27,.400,.400,.600,.000,8.9,13.9,11.4,8.0,6.3,4.2,9.1,20.4,86,93,5.4
Jordan Bell,15:31,.400,.400,.200,.000,6.4,20.2,13.2,0.0,0.0,6.1,28.6,18.8,61,104,-13.0
Alex Len,6:20,.000,,,,0.0,33.0,16.1,23.0,0.0,0.0,53.2,12.4,21,104,-16.1
Cassius Winston,1:13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,-9.2
