Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,35:31,8,16,.500,3,7,.429,4,9,.444,0,6,6,15,3,0,8,3,23,-4
Bradley Beal,35:30,8,18,.444,1,4,.250,6,6,1.000,0,6,6,5,1,0,6,2,23,-25
Rui Hachimura,25:19,2,7,.286,1,3,.333,2,4,.500,0,2,2,1,1,0,0,2,7,-26
Moritz Wagner,11:03,3,6,.500,0,0,,1,1,1.000,2,0,2,0,1,0,1,2,7,-7
Garrison Mathews,9:04,2,4,.500,1,3,.333,0,0,,0,1,1,0,1,0,0,0,5,-1
Dāvis Bertāns,28:14,3,6,.500,2,5,.400,3,3,1.000,0,5,5,0,0,0,1,3,11,+3
Deni Avdija,25:41,4,7,.571,2,4,.500,0,0,,0,7,7,1,0,0,2,0,10,+6
Raul Neto,24:17,3,7,.429,1,5,.200,0,0,,0,0,0,4,1,0,3,3,7,+1
Alex Len,19:15,2,4,.500,0,0,,0,0,,1,6,7,1,0,2,0,2,4,+10
Robin Lopez,13:54,6,6,1.000,0,0,,2,2,1.000,0,0,0,0,0,1,0,2,14,-14
Isaac Bonga,9:42,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-11
Anthony Gill,1:15,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Troy Brown,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
