Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rui Hachimura,35:05,.589,.545,.091,.182,0.0,17.1,9.0,0.0,1.3,0.0,20.2,18.0,90,90,-5.5
Russell Westbrook,34:56,.455,.425,.150,.100,3.2,51.5,28.7,41.6,0.0,0.0,22.3,32.7,88,86,-1.6
Deni Avdija,26:51,.417,.417,.500,.000,4.2,14.9,9.8,8.8,3.4,0.0,0.0,9.5,104,86,2.6
Bradley Beal,20:52,.715,.682,.364,.182,5.3,9.6,7.6,45.7,0.0,0.0,14.4,28.3,133,95,13.4
Alex Len,14:57,.545,.545,.091,.000,7.5,0.0,3.5,0.0,0.0,0.0,0.0,31.3,107,97,-3.2
Garrison Mathews,31:22,.750,.750,1.000,.000,0.0,6.4,3.4,3.7,0.0,0.0,20.0,6.8,114,96,-3.4
Raul Neto,19:37,.500,.500,.333,.000,0.0,10.2,5.4,7.7,0.0,0.0,0.0,26.0,101,95,-4.8
Robin Lopez,19:31,1.031,1.000,.000,.667,5.7,15.4,10.8,13.4,2.4,8.8,20.5,10.6,169,81,12.9
Jerome Robinson,18:08,.000,.000,.200,.000,6.2,0.0,2.9,6.0,5.1,0.0,28.6,16.4,20,86,-14.5
Daniel Gafford,13:32,.874,.857,.000,.143,8.2,29.6,19.5,0.0,3.4,19.0,21.2,29.6,124,67,24.5
Isaac Bonga,4:17,,,,,0.0,0.0,0.0,25.5,0.0,0.0,100.0,9.9,45,97,-13.7
Cassius Winston,0:52,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0,96,-68.4
