Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,40:12,17,30,.567,3,6,.500,5,7,.714,2,8,10,9,2,0,2,4,42,-3
Bradley Beal,36:45,9,20,.450,1,5,.200,10,11,.909,1,3,4,3,2,0,3,4,29,0
Raul Neto,29:27,3,5,.600,0,1,.000,2,2,1.000,1,8,9,4,0,0,0,3,8,+12
Rui Hachimura,28:34,7,11,.636,1,2,.500,3,5,.600,1,1,2,0,0,0,2,3,18,-3
Alex Len,4:47,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-11
Dāvis Bertāns,25:34,1,5,.200,1,5,.200,2,3,.667,0,3,3,0,0,1,0,1,5,+4
Daniel Gafford,25:09,4,5,.800,0,0,,1,2,.500,5,2,7,0,0,2,0,2,9,-7
Ish Smith,23:59,3,8,.375,0,0,,0,0,,1,3,4,2,1,0,2,3,6,-3
Robin Lopez,17:55,2,3,.667,0,0,,1,1,1.000,2,2,4,0,0,0,1,1,5,+17
Chandler Hutchison,7:38,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,1,2,-11
