Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,31:02,.781,.781,.125,.000,0.0,15.5,8.5,16.5,4.7,0.0,0.0,23.3,157,104,11.9
Devin Booker,30:30,.655,.646,.292,.042,9.5,19.7,15.1,41.7,0.0,0.0,7.6,39.1,133,114,7.1
Bradley Beal,28:23,.650,.650,.300,.000,0.0,4.2,2.3,44.3,0.0,0.0,9.1,17.5,147,117,5.4
Grayson Allen,25:37,.667,.667,.000,.000,0.0,9.4,5.1,3.9,1.9,0.0,14.3,12.3,112,112,-6.4
Jusuf Nurkić,21:49,.429,.429,.000,.000,20.0,38.5,30.1,13.4,6.7,0.0,0.0,14.5,127,95,1.0
Eric Gordon,22:51,1.000,1.000,.833,.000,0.0,0.0,0.0,4.4,2.1,0.0,0.0,11.8,183,113,5.0
Bol Bol,19:01,.962,1.000,.400,.800,0.0,25.2,13.8,5.5,0.0,4.9,0.0,16.0,189,109,7.6
Drew Eubanks,18:21,.806,.750,.000,1.250,0.0,19.6,10.7,5.4,2.7,15.1,0.0,15.2,170,97,9.2
Royce O'Neale,15:43,.333,.333,.667,.000,0.0,30.5,16.7,0.0,0.0,5.9,25.0,23.0,49,108,-18.1
Josh Okogie,9:34,.000,.000,.000,.000,15.2,0.0,6.9,9.0,0.0,0.0,33.3,14.1,52,118,-19.5
Nassir Little,5:43,.500,.500,.500,.000,0.0,0.0,0.0,17.6,0.0,0.0,0.0,15.8,121,117,-7.1
David Roddy,5:43,.500,.500,.000,.000,0.0,21.0,11.5,35.3,8.6,0.0,0.0,15.8,136,95,14.6
Thaddeus Young,5:43,.500,.500,.000,.000,25.4,21.0,23.0,42.8,8.6,0.0,20.0,39.5,107,95,6.7
